============================================================
GENERATING AUGMENTED FORGED IMAGES
============================================================
Source: /home/swatson/work/MachineLearning/kaggle/ScientificImageForgeryDetection/train_images/forged
Output images: /home/swatson/work/MachineLearning/kaggle/ScientificImageForgeryDetection/train_images/forged_augmented
Output masks: /home/swatson/work/MachineLearning/kaggle/ScientificImageForgeryDetection/train_masks_augmented
Augmentations per image: 3

Found 2751 forged images
  Progress: 0/2751
Error augmenting 10296.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (81, 113)
Error augmenting 10296.png (aug 2): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (81, 113)
Error augmenting 10398.png (aug 1): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (402, 618)
Error augmenting 1041.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (140, 403)
Error augmenting 10435.png (aug 1): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (422, 1137)
Error augmenting 10448.png (aug 2): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (68, 753)
Error augmenting 10505.png (aug 1): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (102, 986)
Error augmenting 10570.png (aug 2): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (458, 1216)
Error augmenting 10878.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (507, 180)
Error augmenting 10878.png (aug 2): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (507, 180)
Error augmenting 10911.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (256, 256)
Error augmenting 10939.png (aug 2): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (360, 360)
Error augmenting 10951.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (177, 673)
Error augmenting 10951.png (aug 1): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (177, 673)
Error augmenting 10951.png (aug 2): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (177, 673)
Error augmenting 11130.png (aug 1): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (439, 419)
Error augmenting 11130.png (aug 2): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (439, 419)
Error augmenting 11356.png (aug 2): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (256, 256)
Error augmenting 1137.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (480, 270)
Error augmenting 1137.png (aug 2): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (270, 480)
Error augmenting 11440.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (256, 320)
Error augmenting 11501.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (418, 1409)
Error augmenting 11501.png (aug 2): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (418, 1409)
Error augmenting 11698.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (67, 398)
Error augmenting 11942.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (256, 256)
Error augmenting 12064.png (aug 2): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (216, 569)
Error augmenting 12073.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (256, 256)
Error augmenting 1225.png (aug 2): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (254, 600)
Error augmenting 12366.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (256, 320)
Error augmenting 12366.png (aug 1): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (256, 320)
Error augmenting 12446.png (aug 2): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (256, 320)
Error augmenting 12589.png (aug 1): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (256, 320)
Error augmenting 12589.png (aug 2): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (256, 320)
Error augmenting 12705.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (256, 320)
Error augmenting 12823.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (360, 360)
Error augmenting 13020.png (aug 1): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (96, 416)
Error augmenting 13510.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (341, 311)
Error augmenting 13799.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (100, 742)
Error augmenting 13799.png (aug 1): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (100, 742)
Error augmenting 13839.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (351, 694)
Error augmenting 13839.png (aug 1): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (351, 694)
Error augmenting 13893.png (aug 1): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (184, 1264)
Error augmenting 14205.png (aug 1): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (77, 984)
Error augmenting 14401.png (aug 1): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (67, 398)
Error augmenting 14462.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (424, 375)
Error augmenting 14618.png (aug 2): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (256, 256)
Error augmenting 14624.png (aug 2): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (360, 360)
Error augmenting 14770.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (96, 517)
Error augmenting 14776.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (107, 534)
Error augmenting 14820.png (aug 1): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (419, 1608)
Error augmenting 14988.png (aug 2): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (256, 256)
Error augmenting 15171.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (360, 360)
Error augmenting 15171.png (aug 1): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (360, 360)
Error augmenting 15176.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (89, 260)
Error augmenting 15205.png (aug 1): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (88, 502)
Error augmenting 15573.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (256, 256)
Error augmenting 15767.png (aug 2): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (445, 1608)
Error augmenting 15860.png (aug 2): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (360, 360)
Error augmenting 15913.png (aug 1): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (256, 256)
Error augmenting 16534.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (172, 196)
Error augmenting 16612.png (aug 2): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (273, 753)
Error augmenting 16648.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (360, 360)
Error augmenting 16667.png (aug 2): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (256, 256)
Error augmenting 1686.png (aug 1): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (103, 484)
Error augmenting 17008.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (164, 659)
Error augmenting 17268.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (99, 1041)
Error augmenting 17388.png (aug 1): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (100, 609)
Error augmenting 176.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (85, 517)
Error augmenting 17846.png (aug 1): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (91, 530)
Error augmenting 17923.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (581, 233)
Error augmenting 18153.png (aug 1): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (360, 360)
Error augmenting 18554.png (aug 2): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (256, 320)
Error augmenting 18760.png (aug 2): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (90, 817)
Error augmenting 18781.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (256, 320)
Error augmenting 19054.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (70, 448)
Error augmenting 19130.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (256, 256)
Error augmenting 19281.png (aug 2): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (391, 978)
Error augmenting 19332.png (aug 2): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (256, 256)
Error augmenting 1940.png (aug 1): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (502, 88)
Error augmenting 19627.png (aug 1): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (256, 256)
Error augmenting 19718.png (aug 2): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (118, 843)
Error augmenting 19775.png (aug 2): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (256, 256)
Error augmenting 19981.png (aug 1): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (901, 180)
Error augmenting 19981.png (aug 2): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (180, 901)
Error augmenting 19986.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (420, 590)
Error augmenting 20270.png (aug 0): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (360, 360)
Error augmenting 20343.png (aug 1): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (128, 121)
Error augmenting 20409.png (aug 1): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (256, 256)
Error augmenting 20409.png (aug 2): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (256, 256)
Error augmenting 2050.png (aug 2): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (256, 256)
Error augmenting 20507.png (aug 2): Crop size (height, width) exceeds image dimensions (height, width): (480, 480) vs (340, 494)
  Progress: 500/2751
